Well,Plate,Compound,Concentration,Replicate,t_0,t_2.08,t_4.16,t_6.24,t_8.32,t_10.4,t_12.48,MIC,Smiles
B05,111-DR1,Z27542156,3.13,E,0,0.163413816765875,0.520881540941225,0.666421971498332,0.799195697620605,0.919202719308045,1.02899637744762,Inactive,[O-][N+](=O)C1=CC=C(S1)C(=O)NCC=2C=CC=3OCCOC3C2
B06,111-DR1,Z27542156,0.781,E,0,0.150647112331041,0.503008154732458,0.643441903515631,0.771108947863971,0.888562628664443,0.995802945917048,Inactive,[O-][N+](=O)C1=CC=C(S1)C(=O)NCC=2C=CC=3OCCOC3C2
B07,111-DR1,Z27542156,0.2,E,0,0.165967157652841,0.528541563602126,0.668975312385299,0.794089015846672,0.911542696647144,1.01112299123885,Inactive,[O-][N+](=O)C1=CC=C(S1)C(=O)NCC=2C=CC=3OCCOC3C2
B08,111-DR1,Z1966542207,50,E,0,0.186393884748576,0.528541563602126,0.674081994159233,0.796642356733639,0.916649378421078,1.02388969567368,Inactive,COCCS(=O)(=O)NC=1C=CC=CC1C2=NC=C3CCCCN23
B09,111-DR1,Z1966542207,12.5,E,0,0.178733862087675,0.515774859167292,0.648548585289565,0.768555606977004,0.886009287777476,0.993249605030082,Inactive,COCCS(=O)(=O)NC=1C=CC=CC1C2=NC=C3CCCCN23
B10,111-DR1,Z1966542207,3.13,E,0,0.173627180313742,0.513221518280325,0.640888562628664,0.758342243429137,0.873242583342642,0.977929559708281,Inactive,COCCS(=O)(=O)NC=1C=CC=CC1C2=NC=C3CCCCN23
B11,111-DR1,Z1966542207,0.781,E,0,0.40598120102772,0.513221518280325,0.645995244402598,0.768555606977004,0.880902606003543,0.983036241482214,Inactive,COCCS(=O)(=O)NC=1C=CC=CC1C2=NC=C3CCCCN23
B12,111-DR1,Z1966542207,0.2,E,0,0.176180521200709,0.515774859167292,0.643441903515631,0.778768970524871,0.896222651325343,1.00090962769098,Inactive,COCCS(=O)(=O)NC=1C=CC=CC1C2=NC=C3CCCCN23
B13,111-DR1,Z999961704,50,E,0,0.176180521200709,0.525988222715159,0.668975312385299,0.796642356733639,0.911542696647144,1.01878301389975,Inactive,CC1=CC=C(C)N1C2CCN(CC2)C(=O)C3=C(C)OC(C)=C3S(=O)(=O)N
B14,111-DR1,Z999961704,12.5,E,0,0.173627180313742,0.518328200054259,0.640888562628664,0.768555606977004,0.886009287777476,0.995802945917048,Inactive,CC1=CC=C(C)N1C2CCN(CC2)C(=O)C3=C(C)OC(C)=C3S(=O)(=O)N
B15,111-DR1,Z999961704,3.13,E,0,0.176180521200709,0.508114836506391,0.658761948837432,0.781322311411838,0.89111596955141,0.993249605030082,Inactive,CC1=CC=C(C)N1C2CCN(CC2)C(=O)C3=C(C)OC(C)=C3S(=O)(=O)N
