"","Well","Replicate","Compound","t_0","t_6","t_12","Smiles","Plate_ID","Concentration"
"46","L02","OD_A","DMSO",0,0.488410623734373,0.976821247468746,"","1886318-Y12-A081",50
"47","L23","OD_A","Ciprofloxacin",0.00321322778772614,0,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"48","L24","OD_A","DMSO",0,0.867571502686058,1.08928422003916,"","1886318-Y12-A081",50
"49","M01","OD_A","DMSO",0,0.610513279667967,1.10535035897779,"","1886318-Y12-A081",50
"50","M02","OD_A","DMSO",0,0.510903218248456,1.01537998092146,"","1886318-Y12-A081",50
"51","M23","OD_A","Ciprofloxacin",0,0.00963968336317843,0.00642645557545228,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"52","M24","OD_A","DMSO",0,0.819373085870166,1.13748263685505,"","1886318-Y12-A081",50
"53","N01","OD_A","DMSO",0,0.581594229578431,1.11499004234097,"","1886318-Y12-A081",50
"54","N02","OD_A","DMSO",0,0.453065118069386,0.931836058440581,"","1886318-Y12-A081",50
"55","N23","OD_A","Ciprofloxacin",0.00321322778772614,0.00321322778772614,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"56","N24","OD_A","DMSO",0,0.983247703044199,1.14069586464278,"","1886318-Y12-A081",50
"57","O01","OD_A","DMSO",0,0.562314862852074,1.09249744782689,"","1886318-Y12-A081",50
"58","O02","OD_A","DMSO",0,0.491623851522099,0.967181564105568,"","1886318-Y12-A081",50
"59","O23","OD_A","Ciprofloxacin",0,0,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"60","O24","OD_A","DMSO",0,0.665138152059311,1.05393871437417,"","1886318-Y12-A081",50
"61","P01","OD_A","DMSO",0,0.620152963031145,1.24030592606229,"","1886318-Y12-A081",50
"62","P02","OD_A","DMSO",0,0.562314862852074,1.12784295349188,"","1886318-Y12-A081",50
"63","P23","OD_A","Ciprofloxacin",0.0128529111509046,0,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A081",50
"64","P24","OD_A","DMSO",0,0.514116446036182,1.07964453667598,"","1886318-Y12-A081",50
"65","A01","OD_A","DMSO",0,0.646708948112123,1.20508691794552,"","1886318-Y12-A082",50
"66","A02","OD_A","Ciprofloxacin",0,0.00315467779566889,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"67","A23","OD_A","DMSO",0,0.5678420032204,1.12621997305379,"","1886318-Y12-A082",50
"68","A24","OD_A","DMSO",0,0.612007492359765,1.2271696625152,"","1886318-Y12-A082",50
"69","B01","OD_A","DMSO",0,0.552068614242056,1.07574512832309,"","1886318-Y12-A082",50
"70","B02","OD_A","Ciprofloxacin",0.00315467779566887,0.00315467779566887,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"71","B23","OD_A","DMSO",0,0.495284413920016,0.981104794453025,"","1886318-Y12-A082",50
"72","B24","OD_A","DMSO",0,0.574151358811738,1.14199336203214,"","1886318-Y12-A082",50
"73","C01","OD_A","DMSO",0,0.627780881338109,1.17354013998883,"","1886318-Y12-A082",50
"74","C02","OD_A","Ciprofloxacin",0.00946403338700666,0.00315467779566887,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"75","C23","OD_A","DMSO",0,0.48266570273734,1.00003286122704,"","1886318-Y12-A082",50
"76","C24","OD_A","DMSO",0,0.583615392198745,1.14830271762348,"","1886318-Y12-A082",50
"77","D01","OD_A","DMSO",0,0.574151358811738,1.08836383950577,"","1886318-Y12-A082",50
"78","D02","OD_A","Ciprofloxacin",0.00315467779566887,0.00315467779566887,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"79","D23","OD_A","DMSO",0,0.495284413920016,1.01896092800105,"","1886318-Y12-A082",50
"80","D24","OD_A","DMSO",0,0.529985869672374,1.09151851730144,"","1886318-Y12-A082",50
"81","E01","OD_A","DMSO",0,0.564687325424731,1.08836383950577,"","1886318-Y12-A082",50
"82","E02","OD_A","Ciprofloxacin",0,0,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"83","E23","OD_A","DMSO",0,0.479511024941671,0.940093983109329,"","1886318-Y12-A082",50
"84","E24","OD_A","DMSO",0,0.488975058328678,0.990568827840032,"","1886318-Y12-A082",50
"85","F01","OD_A","DMSO",0,0.558377969833394,1.10098255068844,"","1886318-Y12-A082",50
"86","F02","OD_A","Ciprofloxacin",0.00630935559133776,0.00315467779566887,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"87","F23","OD_A","DMSO",0,0.476356347146003,0.946403338700667,"","1886318-Y12-A082",50
"88","F24","OD_A","DMSO",0,0.517367158489698,1.04735302816207,"","1886318-Y12-A082",50
"89","G01","OD_A","DMSO",0,0.558377969833394,1.09782787289277,"","1886318-Y12-A082",50
"90","G02","OD_A","Ciprofloxacin",0,0.00315467779566889,0.00315467779566889,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"91","G23","OD_A","DMSO",0,0.438500213597976,0.899083171765634,"","1886318-Y12-A082",50
"92","G24","OD_A","DMSO",0,0.668791692681805,1.0441983503664,"","1886318-Y12-A082",50
"93","H01","OD_A","DMSO",0,0.561532647629063,1.09151851730144,"","1886318-Y12-A082",50
"94","H02","OD_A","Ciprofloxacin",0.00315467779566889,0.00946403338700668,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"95","H23","OD_A","DMSO",0,0.435345535802307,0.899083171765634,"","1886318-Y12-A082",50
"96","H24","OD_A","DMSO",0,0.675101048273143,1.04104367257073,"","1886318-Y12-A082",50
"97","I01","OD_A","DMSO",0,0.545759258650718,1.09467319509711,"","1886318-Y12-A082",50
"98","I02","OD_A","DMSO",0,0.552068614242056,1.02527028359239,"","1886318-Y12-A082",50
"99","I23","OD_A","Ciprofloxacin",0.00630935559133776,0.00315467779566887,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"100","I24","OD_A","DMSO",0,0.451118924780651,1.00949689461405,"","1886318-Y12-A082",50
"101","J01","OD_A","DMSO",0,0.558377969833394,1.10729190627978,"","1886318-Y12-A082",50
"102","J02","OD_A","DMSO",0,0.618316847951103,1.08205448391443,"","1886318-Y12-A082",50
"103","J23","OD_A","Ciprofloxacin",0.00630935559133776,0.00315467779566887,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
